adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0000950170-24-080431,1785056,"INTERACTIVE STRENGTH, INC.",3600,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,3106978655,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,US,DE,821432916,,,4-NON,0,1231,8-K,20240630,,,20240702,2024-07-02 16:03:00,0,0,trnr-20240701_htm.xml,1,
0000950170-24-080400,1785056,"INTERACTIVE STRENGTH, INC.",3600,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,3106978655,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,US,DE,821432916,,,4-NON,0,1231,8-K,20240630,,,20240702,2024-07-02 16:00:00,0,0,trnr-20240628_htm.xml,1,
0000950170-24-080040,926617,ASPIRA WOMEN'S HEALTH INC.,2835,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,512-519-0400,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,US,DE,330595156,"VERMILLION, INC.",20070824,4-NON,0,1231,8-K,20240630,,,20240702,2024-07-02 9:16:00,0,0,awh-20240630_htm.xml,1,
0001493152-24-025806,1836100,GOAL ACQUISITIONS CORP.,6770,US,TX,AUSTIN,78738,13001 W. HWY 71,SUITE 201,512-287-1871,US,TX,AUSTIN,78738,13001 W. HWY 71,SUITE 201,US,DE,853660880,,,4-NON,0,1231,8-K,20240630,,,20240701,2024-07-01 16:31:00,0,0,form8-k_htm.xml,1,
0001493152-24-025725,1069530,CASSAVA SCIENCES INC,2834,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,512-501-2444,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,US,DE,911911336,PAIN THERAPEUTICS INC,20000309,1-LAF,0,1231,8-K,20240630,,,20240701,2024-07-01 8:01:00,1,0,form8-k_htm.xml,1,
0001213900-24-057380,1733413,"TFF PHARMACEUTICALS, INC.",2834,US,TX,AUSTIN,78746,"2600 VIA FORTUNA, SUITE 360",,737-802-1973,US,TX,AUSTIN,78746,"2600 VIA FORTUNA, SUITE 360",,US,DE,824344737,,,4-NON,0,1231,8-K,20240630,,,20240701,2024-06-28 20:32:00,0,0,ea0208732-8k_tffpharma_htm.xml,1,
0001079973-24-000998,700764,"VICTORY CLEAN ENERGY, INC.",1311,US,TX,AUSTIN,78738,"14425 FALCON HEAD BLVD., BLDG E",SUITE 100,512-607-5558,US,TX,AUSTIN,78738,"14425 FALCON HEAD BLVD., BLDG E",SUITE 100,US,NV,870564472,"VICTORY OILFIELD TECH, INC.",20180606,4-NON,0,1231,8-K,20240630,,,20240701,2024-07-01 17:15:00,0,0,vyey_8k_htm.xml,1,
0000950170-24-079726,1830043,BUMBLE INC.,7370,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,512-696-1409,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,,,853604367,,,1-LAF,0,1231,8-K,20240630,,,20240701,2024-07-01 17:00:00,0,0,bmbl-20240701_htm.xml,1,
0000950170-24-079657,1800347,"E2OPEN PARENT HOLDINGS, INC.",7374,US,TX,AUSTIN,78759,"9600 GREAT HILLS TRAIL, SUITE 300E",,8664326736,US,TX,AUSTIN,78759,"9600 GREAT HILLS TRAIL, SUITE 300E",,US,DE,0,CC NEUBERGER PRINCIPAL HOLDINGS I,20200116,1-LAF,0,229,8-K,20240630,,,20240701,2024-07-01 16:30:00,0,0,etwo-20240628_htm.xml,1,
0001377789-24-000028,1377789,"AVIAT NETWORKS, INC.",3663,US,TX,AUSTIN,78728,200 PARKER DRIVE,SUITE C100A,4089417100,US,TX,AUSTIN,78728,200 PARKER DRIVE,SUITE C100A,US,DE,205961564,AVIAT NETWORKS INC,20161109,2-ACC,0,630,8-K,20240630,,,20240703,2024-07-03 6:06:00,0,0,avnw-20240702_htm.xml,1,
0001635984-24-000017,1635984,"NATIONAL WESTERN LIFE GROUP, INC.",6311,US,TX,AUSTIN,78720-9080,C/O NATIONAL WESTERN LIFE INSURANCE CO.,PO BOX 209080,(512) 719-0143,US,TX,AUSTIN,78720-9080,C/O NATIONAL WESTERN LIFE INSURANCE CO.,PO BOX 209080,US,DE,0,,,1-LAF,0,1231,8-K,20240630,,,20240703,2024-07-03 12:04:00,0,0,nwli-20240703_htm.xml,1,
0000772406-24-000047,772406,"CIRRUS LOGIC, INC.",3674,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,512-851-4000,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,US,DE,770024818,CIRRUS LOGIC INC,19920703,1-LAF,0,331,8-K/A,20240430,,,20240705,2024-07-05 16:03:00,0,0,crus-20240511_htm.xml,1,
0000950170-24-081880,926617,ASPIRA WOMEN'S HEALTH INC.,2835,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,512-519-0400,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,US,DE,330595156,"VERMILLION, INC.",20070824,4-NON,0,1231,8-K,20240630,,,20240705,2024-07-05 16:30:00,0,0,awh-20240701_htm.xml,1,
0001628280-24-031246,1839341,"CORE SCIENTIFIC, INC./TX",6199,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,(425) 998-5300,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,US,DE,0,POWER & DIGITAL INFRASTRUCTURE ACQUISITION CORP.,20210106,2-ACC,0,1231,8-K,20240630,,,20240705,2024-07-05 11:00:00,0,0,core-20240705_htm.xml,1,
0001828852-24-000102,1828852,"MONDEE HOLDINGS, INC.",4700,US,TX,AUSTIN,78750,"10800 PECAN PARK BLVD, SUITE 315",,(650) 646-3320,US,TX,AUSTIN,78750,"10800 PECAN PARK BLVD, SUITE 315",,US,DE,0,ITHAX ACQUISITION CORP.,20201019,2-ACC,0,1231,8-K,20240630,,,20240705,2024-07-05 16:00:00,0,0,mond-20240628_htm.xml,1,
0000024090-24-000127,24090,"CITIZENS, INC.",6311,US,TX,AUSTIN,78758,11815 ALTERRA PKWY,SUITE 1500,5128377100,US,TX,AUSTIN,78714,P O BOX 149151,,US,CO,840755371,CITIZENS INC,19920703,2-ACC,0,1231,8-K,20240630,,,20240708,2024-07-08 11:29:00,0,0,cia-20240701_htm.xml,1,
0001628280-24-031339,1839341,"CORE SCIENTIFIC, INC./TX",6199,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,(425) 998-5300,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,US,DE,0,POWER & DIGITAL INFRASTRUCTURE ACQUISITION CORP.,20210106,2-ACC,0,1231,8-K,20240630,,,20240708,2024-07-08 9:14:00,0,0,core-20240708_htm.xml,1,
0001635984-24-000019,1635984,"NATIONAL WESTERN LIFE GROUP, INC.",6311,US,TX,AUSTIN,78720-9080,C/O NATIONAL WESTERN LIFE INSURANCE CO.,PO BOX 209080,(512) 719-0143,US,TX,AUSTIN,78720-9080,C/O NATIONAL WESTERN LIFE INSURANCE CO.,PO BOX 209080,US,DE,0,,,1-LAF,0,1231,8-K,20240630,,,20240709,2024-07-09 9:45:00,0,0,nwli-20240709_htm.xml,1,
0000950170-24-082694,1800347,"E2OPEN PARENT HOLDINGS, INC.",7374,US,TX,AUSTIN,78759,"9600 GREAT HILLS TRAIL, SUITE 300E",,8664326736,US,TX,AUSTIN,78759,"9600 GREAT HILLS TRAIL, SUITE 300E",,US,DE,0,CC NEUBERGER PRINCIPAL HOLDINGS I,20200116,1-LAF,0,229,8-K,20240630,,,20240710,2024-07-10 16:18:00,0,0,etwo-20240710_htm.xml,1,
0000950170-24-082697,1800347,"E2OPEN PARENT HOLDINGS, INC.",7374,US,TX,AUSTIN,78759,"9600 GREAT HILLS TRAIL, SUITE 300E",,8664326736,US,TX,AUSTIN,78759,"9600 GREAT HILLS TRAIL, SUITE 300E",,US,DE,0,CC NEUBERGER PRINCIPAL HOLDINGS I,20200116,1-LAF,0,229,10-Q,20240531,2025,Q1,20240710,2024-07-10 16:22:00,0,1,etwo-20240531_htm.xml,1,
0000950170-24-082745,1785056,"INTERACTIVE STRENGTH, INC.",3600,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,3106978655,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,US,DE,821432916,,,4-NON,0,1231,8-K,20240630,,,20240710,2024-07-10 16:57:00,0,0,trnr-20240703_htm.xml,1,
0001193125-24-177288,1740332,"RESIDEO TECHNOLOGIES, INC.",5072,US,TX,AUSTIN,78702,901 E 6TH STREET,,512-726-3500,US,TX,AUSTIN,78702,901 E 6TH STREET,,US,DE,825318796,HH SPINCO INC.,20180510,1-LAF,0,1231,8-K,20240630,,,20240710,2024-07-10 16:42:00,0,0,d781419d8k_htm.xml,1,
0001625641-24-000103,1625641,"CS DISCO, INC.",7372,US,TX,AUSTIN,78701,111 CONGRESS AVE,SUITE 900,713-231-9100,US,TX,AUSTIN,78701,111 CONGRESS AVE,SUITE 900,US,DE,464254444,,,2-ACC,0,1231,8-K,20240630,,,20240710,2024-07-10 16:31:00,0,0,law-20240709_htm.xml,1,
0001213900-24-061043,1914023,ACRI CAPITAL ACQUISITION CORP,6770,US,TX,AUSTIN,78729,13284 POND SPRING RD,STE 405,5126661277,US,TX,AUSTIN,78729,13284 POND SPRING RD,STE 405,US,DE,874328187,,,4-NON,0,1231,8-K,20240630,,,20240712,2024-07-12 16:16:00,0,0,ea0209351-8k_acricap_htm.xml,1,
0001628280-24-031727,1839341,"CORE SCIENTIFIC, INC./TX",6199,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,(425) 998-5300,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,US,DE,0,POWER & DIGITAL INFRASTRUCTURE ACQUISITION CORP.,20210106,2-ACC,0,1231,8-K,20240630,,,20240712,2024-07-12 9:14:00,0,0,core-20240712_htm.xml,1,
0001493152-24-027787,1657045,NEXT-CHEMX CORPORATION.,2890,US,TX,AUSTIN,78746,901 MOPAC EXPRESSWAY SOUTH BUILDING 1,SUITE 300,512-663-2690,US,TX,AUSTIN,78746,901 MOPAC EXPRESSWAY SOUTH BUILDING 1,SUITE 300,US,NV,320446353,"ALLYME GROUP, INC./NV",20181227,4-NON,0,1231,10-Q,20240331,2024,Q1,20240715,2024-07-15 13:12:00,0,1,form10-q_htm.xml,1,
0001493152-24-027892,1572565,INDOOR HARVEST CORP,3590,US,TX,AUSTIN,78739,7401 W. SLAUGHTER LANE #5078,,(346) 310-3427,US,TX,AUSTIN,78739,7401 W. SLAUGHTER LANE #5078,,US,TX,455577364,,,4-NON,0,1231,10-K/A,20231231,2023,FY,20240715,2024-07-15 17:22:00,1,1,form10-ka_htm.xml,1,
0001628280-24-031881,1038074,SILICON LABORATORIES INC.,3674,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,5124168500,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,US,DE,742793174,SILICON LABORATORIES INC,20000105,1-LAF,0,1231,8-K,20240630,,,20240715,2024-07-15 16:16:00,0,0,slab-20240709_htm.xml,1,
0001628280-24-031898,317788,"DIGITAL TURBINE, INC.",6794,US,TX,AUSTIN,78701,111 NUECES STREET,,(512) 387-7717,US,TX,AUSTIN,78701,111 NUECES STREET,,US,DE,222267658,"MANDALAY DIGITAL GROUP, INC.",20120207,1-LAF,0,331,DEF 14A,20240331,,,20240715,2024-07-15 16:57:00,0,0,apps-20240715_htm.xml,1,
0001193125-24-180420,1740332,"RESIDEO TECHNOLOGIES, INC.",5072,US,TX,AUSTIN,78702,901 E 6TH STREET,,512-726-3500,US,TX,AUSTIN,78702,901 E 6TH STREET,,US,DE,825318796,HH SPINCO INC.,20180510,1-LAF,0,1231,8-K,20240731,,,20240717,2024-07-17 16:45:00,0,0,d824487d8k_htm.xml,1,
0001193125-24-180426,1524931,"CHUY'S HOLDINGS, INC.",5812,US,TX,AUSTIN,78704,1623 TOOMEY ROAD,,512-473-2783,US,TX,AUSTIN,78704,1623 TOOMEY ROAD,,US,DE,205717694,,,1-LAF,0,1231,8-K,20240731,,,20240717,2024-07-17 16:49:00,0,0,d873202d8k_htm.xml,1,
0001437749-24-022876,1069530,CASSAVA SCIENCES INC,2834,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,512-501-2444,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,US,DE,911911336,PAIN THERAPEUTICS INC,20000309,1-LAF,0,1231,8-K,20240630,,,20240717,2024-07-17 9:16:00,1,0,sava20240717_8k_htm.xml,1,
0001640334-24-001128,1680689,"NATURAL RESOURCE HOLDINGS, INC.",5960,US,TX,AUSTIN,78735,7500 RIALTO BOULEVARD OAK HILL,,4159685642,US,TX,AUSTIN,78735,7500 RIALTO BOULEVARD OAK HILL,,,,320500871,BOXXY INC.,20160725,4-NON,0,430,10-K,20240430,2024,FY,20240717,2024-07-17 13:13:00,1,1,boxxy_10k_htm.xml,1,
0001437749-24-022952,1069530,CASSAVA SCIENCES INC,2834,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,512-501-2444,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,US,DE,911911336,PAIN THERAPEUTICS INC,20000309,1-LAF,0,1231,8-K,20240731,,,20240718,2024-07-18 8:15:00,1,0,sava20240716_8k_htm.xml,1,
0001386278-24-000037,1386278,GREEN DOT CORP,6199,US,TX,AUSTIN,78701,114 W 7TH STREET SUITE 240,,6267652000,US,OH,CINCINNATI,45241,"4675 CORNELL ROAD, SUITE 280",,US,DE,0,,,1-LAF,0,1231,8-K,20240731,,,20240719,2024-07-19 16:15:00,0,0,gdot-20240719_htm.xml,1,
0001104659-24-081571,1535527,"CROWDSTRIKE HOLDINGS, INC.",7372,US,TX,AUSTIN,78701,206 E. 9TH STREET,SUITE 1400,888-512-8906,US,TX,AUSTIN,78701,206 E. 9TH STREET,SUITE 1400,US,DE,453788918,,,1-LAF,0,131,8-K,20240731,,,20240722,2024-07-22 17:28:00,0,0,tm2419936d1_8k_htm.xml,1,
0001104659-24-081215,1604821,"NATERA, INC.",8071,US,TX,AUSTIN,78753,13011 MCCALLEN PASS,BUILDING A SUITE 100,650-249-9090,US,TX,AUSTIN,78753,13011 MCCALLEN PASS,BUILDING A SUITE 100,US,DE,10894487,,,1-LAF,0,1231,8-K,20240731,,,20240722,2024-07-19 18:35:00,0,0,tm2419819d1_8k_htm.xml,1,
0001437749-24-023128,1069530,CASSAVA SCIENCES INC,2834,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,512-501-2444,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,US,DE,911911336,PAIN THERAPEUTICS INC,20000309,1-LAF,0,1231,8-K,20240731,,,20240722,2024-07-22 8:12:00,1,0,sava20240721_8k_htm.xml,1,
0000950170-24-085635,1828161,"FTC SOLAR, INC.",3674,US,TX,AUSTIN,78759,"9020 N CAPITAL OF TEXAS HWY, SUITE I-260",,(907) 312-0717,US,TX,AUSTIN,78759,"9020 N CAPITAL OF TEXAS HWY, SUITE I-260",,US,DE,814816270,,,2-ACC,0,1231,8-K,20240731,,,20240723,2024-07-23 16:13:00,0,0,ftci-20240723_htm.xml,1,
0001524931-24-000081,1524931,"CHUY'S HOLDINGS, INC.",5812,US,TX,AUSTIN,78704,1623 TOOMEY ROAD,,512-473-2783,US,TX,AUSTIN,78704,1623 TOOMEY ROAD,,US,DE,205717694,,,1-LAF,0,1231,8-K,20240731,,,20240723,2024-07-23 16:10:00,0,0,chuy-20240723_htm.xml,1,
0001628280-24-032501,1839341,"CORE SCIENTIFIC, INC./TX",6199,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,(425) 998-5300,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,US,DE,0,POWER & DIGITAL INFRASTRUCTURE ACQUISITION CORP.,20210106,2-ACC,0,1231,8-K,20240731,,,20240723,2024-07-22 19:18:00,0,0,core-20240722_htm.xml,1,
0001193125-24-183717,1634452,AB PRIVATE CREDIT INVESTORS CORP,,US,TX,AUSTIN,78701,405 COLORADO STREET,SUITE 1500,(512) 721-2900,US,TX,AUSTIN,78701,405 COLORADO STREET,SUITE 1500,US,MD,0,AB PRIVATE CREDIT CORP,20150219,4-NON,0,1231,8-K,20240731,,,20240724,2024-07-24 14:47:00,0,0,d844180d8k_htm.xml,1,
0001628280-24-032692,1038074,SILICON LABORATORIES INC.,3674,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,5124168500,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,US,DE,742793174,SILICON LABORATORIES INC,20000105,1-LAF,0,1231,8-K,20240731,,,20240724,2024-07-24 7:49:00,0,0,slab-20240724_htm.xml,1,
0001628280-24-032746,1038074,SILICON LABORATORIES INC.,3674,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,5124168500,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,US,DE,742793174,SILICON LABORATORIES INC,20000105,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240724,2024-07-24 9:26:00,0,1,slab-20240629_htm.xml,1,
0001193125-24-184975,1982701,AB PRIVATE LENDING FUND,,US,TX,AUSTIN,78701,405 COLORADO STREET,SUITE 1500,512-721-2900,US,TX,AUSTIN,78701,405 COLORADO STREET,SUITE 1500,US,DE,0,,,,0,1231,N-2/A,,,,20240725,2024-07-25 17:29:00,1,0,d494206dn2a_htm.xml,1,
0001493152-24-029120,1780312,"AST SPACEMOBILE, INC.",4899,US,TX,AUSTIN,78730,6500 RIVERPLACE BOULEVARD,,9179694834,US,TX,AUSTIN,78730,6500 RIVERPLACE BOULEVARD,,US,DE,0,NEW PROVIDENCE ACQUISITION CORP.,20190620,4-NON,0,1231,8-K,20240731,,,20240725,2024-07-25 17:25:00,0,0,form8-k_htm.xml,1,
0001558370-24-010180,1297996,"DIGITAL REALTY TRUST, INC.",6798,US,TX,AUSTIN,78735,"5707 SOUTHWEST PARKWAY, BUILDING 1",SUITE 275,(737) 281-0101,US,TX,AUSTIN,78735,"5707 SOUTHWEST PARKWAY, BUILDING 1",SUITE 275,,,260081711,"DIGITAL REALTY TRUST, INC.",20040722,1-LAF,0,1231,8-K,20240731,,,20240725,2024-07-25 16:10:00,0,0,dlr-20240725x8k_htm.xml,1,
0001739942-24-000088,1739942,SOLARWINDS CORP,7372,US,TX,AUSTIN,78735,"7171 SOUTHWEST PKWY., BLDG. 400",,5126829300,US,TX,AUSTIN,78735,"7171 SOUTHWEST PKWY., BLDG. 400",,US,DE,810753267,"SOLARWINDS PARENT, INC.",20180508,2-ACC,0,1231,8-K,20240731,,,20240725,2024-07-25 16:02:00,0,0,swi-20240724_htm.xml,1,
0001193125-24-186198,1982701,AB PRIVATE LENDING FUND,,US,TX,AUSTIN,78701,405 COLORADO STREET,SUITE 1500,512-721-2900,US,TX,AUSTIN,78701,405 COLORADO STREET,SUITE 1500,US,DE,0,,,,0,1231,N-2/A,,,,20240726,2024-07-26 16:07:00,0,0,d847837dn2a_htm.xml,1,
0001193125-24-186279,1420565,"AILERON THERAPEUTICS, INC.",2834,US,TX,AUSTIN,78758,12407 N. MOPAC EXPY.,SUITE 250 #390,7378021989,US,TX,AUSTIN,78758,12407 N. MOPAC EXPY.,SUITE 250 #390,,,134196017,AILERON THERAPEUTICS INC,20071207,4-NON,0,1231,8-K,20240731,,,20240726,2024-07-26 16:36:00,0,0,d868344d8k_htm.xml,1,
0000772406-24-000050,772406,"CIRRUS LOGIC, INC.",3674,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,512-851-4000,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,US,DE,770024818,CIRRUS LOGIC INC,19920703,1-LAF,0,331,8-K,20240731,,,20240729,2024-07-29 16:01:00,0,0,crus-20240726_htm.xml,1,
0000950170-24-087276,926617,ASPIRA WOMEN'S HEALTH INC.,2835,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,512-519-0400,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,US,DE,330595156,"VERMILLION, INC.",20070824,4-NON,0,1231,8-K,20240731,,,20240729,2024-07-29 16:05:00,0,0,awh-20240725_htm.xml,1,
0001013762-24-001712,1914023,ACRI CAPITAL ACQUISITION CORP,6770,US,TX,AUSTIN,78729,13284 POND SPRING RD,STE 405,5126661277,US,TX,AUSTIN,78729,13284 POND SPRING RD,STE 405,US,DE,874328187,,,4-NON,0,1231,8-K,20240731,,,20240729,2024-07-26 18:00:00,0,0,ea021010201-8k_acricap_htm.xml,1,
0001104659-24-083545,350868,"ITERIS, INC.",3669,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HWY.,"BLDG. 1, SUITE 330",512-716-0808,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HWY.,"BLDG. 1, SUITE 330",US,DE,952588496,ITERIS HOLDINGS  INC,20031107,2-ACC,0,331,10-K/A,20240331,2024,FY,20240729,2024-07-29 16:16:00,0,0,tm2420138d1_10ka_htm.xml,1,
0001013762-24-002094,1837929,NEW PROVIDENCE ACQUISITION CORP. II,6770,US,TX,AUSTIN,78730,6500 RIVERPLACE BOULEVARD,,917-969-4834,US,TX,AUSTIN,78730,6500 RIVERPLACE BOULEVARD,,US,DE,0,,,4-NON,0,1231,8-K,20240731,,,20240729,2024-07-29 16:15:00,0,0,ea0210199-8k_newpro2_htm.xml,1,
0001497645-24-000065,1497645,"SUMMIT HOTEL PROPERTIES, INC.",6798,US,TX,AUSTIN,78738,13215 BEE CAVE PARKWAY,SUITE B-300,512-538-2300,US,TX,AUSTIN,78738,13215 BEE CAVE PARKWAY,SUITE B-300,US,MD,272962512,,,1-LAF,0,1231,8-K,20240731,,,20240729,2024-07-29 16:42:00,0,0,inn-20240729_htm.xml,1,
0001497645-24-000067,1497645,"SUMMIT HOTEL PROPERTIES, INC.",6798,US,TX,AUSTIN,78738,13215 BEE CAVE PARKWAY,SUITE B-300,512-538-2300,US,TX,AUSTIN,78738,13215 BEE CAVE PARKWAY,SUITE B-300,US,MD,272962512,,,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240730,2024-07-29 17:49:00,0,1,inn-20240630_htm.xml,1,
0000950170-24-088246,926617,ASPIRA WOMEN'S HEALTH INC.,2835,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,512-519-0400,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,US,DE,330595156,"VERMILLION, INC.",20070824,4-NON,0,1231,8-K,20240731,,,20240731,2024-07-31 7:58:00,0,0,awh-20240731_htm.xml,1,
